AreaManagerId,FareCalculationCode,StartDateFarePart,StartDurationFarePart,EndDurationFarePart,AmountFarePart,StepSizeFarePart,EndDateFarePart,AmountCumulative
512,TAR04,20150101,0,999999,0.02000000,1,29991231,0.00000000
34,BEZVGBZ,20161101,0,4,0.00000000,4,20170102,0.00000000
150,TAR04,20121218,0,999999,0.01666667,1,20150101,0.00000000
150,TAR03,20140101,0,48,0.04166667,1,20150101,0.00000000
150,TAR04,20150101,0,999999,0.01851852,1,29991231,0.00000000
34,BEZVGAB,20170102,0,4,0.00000000,4,29991231,0.00000000
150,TAR03,20140101,48,999999,0.08333333,1,20150101,2.00000016
150,TAR02,20140101,0,999999,0.02173913,1,20150101,0.00000000
34,BEZVGAB,20161101,120,999999,0.70000000,120,20170102,0.70000000
772,STRIJP02,20190913,0,999999,0.03000000,1,20190927,0.00000000
34,BEZVGBZ,20170102,240,999999,0.20000000,1200,29991231,0.20000000
384,DMNMBON,20191001,120,999999,0.02500000,1,29991231,0.00000000
2459,TER03,20131111,0,60,0.00000000,60,29991231,0.00000000
394,HFD_ZONEB,20130626,0,60,0.01139000,1,20131001,0.00000000
2460,GAR23,20131112,0,999999,20.00000000,1440,29991231,0.00000000
2449,GAR49,20140901,0,999999,1.50000000,30,29991231,0.00000000
473,TAR01,20120425,0,240,0.03666667,1,20140301,0.00000000
642,GAR02,20130926,0,999999,8.00000000,735,29991231,0.00000000
355,GAR03,20191122,0,999999,7.70000000,630,20200713,0.00000000
718,GAR02,20131009,0,18,0.50000000,18,20140101,0.00000000
394,HFD_NS,20130626,1080,999999,0.10750000,1,20130730,5.46804000
1883,GAR03,20200713,0,999999,0.03166667,1,29991231,0.00000000
424,DAG01,20120412,0,999999,18.00000000,720,20130101,0.00000000
983,TER01,20131003,0,999999,1.80000000,60,20140101,0.00000000
307,TAR01,20110101,0,60,0.03833333,1,20120928,0.00000000
512,GAR01,20130918,0,999999,1.00000000,60,29991231,0.00000000
166,TAR02,20120516,0,999999,0.12000000,6,20130101,0.00000000
2460,GAR26,20131112,0,999999,6.00000000,1440,29991231,0.00000000
384,DMNMBON,20191001,0,120,0.00000000,120,29991231,0.00000000
